
永久免费,#genre#
深圳卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226313/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226510/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225740/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226459/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226395/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226480/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226320/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226546/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225619/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226254/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226549/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226380/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226406/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225623/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226448/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226409/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225618/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226463/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226391/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226498/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226344/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226504/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226338/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226513/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226341/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225620/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226397/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226386/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226248/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226374/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226474/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225626/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226383/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226465/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225639/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226445/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225624/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226392/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225625/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226457/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226377/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226444/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225628/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226323/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225659/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225632/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226454/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225633/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226522/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225635/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226460/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225638/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226433/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226439/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226516/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225660/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226467/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226327/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226525/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226531/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226532/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226582/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226585/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226365/index.m3u8#http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226421/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226389/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225655/index.m3u8

江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
天津卫视,http://120.76.248.139/live/bfgd/4200000084.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
河南卫视,http://120.76.248.139/live/bfgd/4200000104.m3u8
卡酷少儿,http://120.76.248.139/live/bfgd/4200000106.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
内蒙卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
山东教育,http://120.76.248.139/live/bfgd/4200000112.m3u8
北京纪实,http://120.76.248.139/live/bfgd/4200000113.m3u8
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000115.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
陕西卫视,http://120.76.248.139/live/bfgd/4200000114.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8
车迷频道,http://120.76.248.139/live/bfgd/4200000146.m3u8
生态环境,http://120.76.248.139/live/bfgd/4200000149.m3u8
发现之旅,http://120.76.248.139/live/bfgd/4200000151.m3u8
优优宝贝,http://120.76.248.139/live/bfgd/4200000153.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8
数字频道,#genre#
超级电视剧,http://[2409:8087:74d9:21::9]/270000001128/9900000022/index.m3u8
海外剧场,http://[2409:8087:74d9:21::9]/270000001128/9900000115/index.m3u8
明星大片,http://[2409:8087:74d9:21::9]/270000001128/9900000116/index.m3u8
精品体育,http://[2409:8087:74d9:21::9]/270000001128/9900000102/index.m3u8
爱情喜剧,http://[2409:8087:74d9:21::9]/270000001128/9900000104/index.m3u8
超级电影,http://[2409:8087:74d9:21::9]/270000001128/9900000021/index.m3u8
超级体育,http://[2409:8087:74d9:21::9]/270000001128/9900000020/index.m3u8
超级综艺,http://[2409:8087:74d9:21::9]/270000001128/9900000019/index.m3u8
潮妈辣婆,http://[2409:8087:74d9:21::9]/270000001128/9900000099/index.m3u8
哒啵电竞,http://[2409:8087:74d9:21::9]/270000001128/9900000121/index.m3u8
哒啵赛事,http://[2409:8087:74d9:21::9]/270000001128/9900000097/index.m3u8
东北热剧,http://[2409:8087:74d9:21::9]/270000001128/9900000092/index.m3u8
动作电影,http://[2409:8087:74d9:21::9]/270000001128/9900000106/index.m3u8
古装剧场,http://[2409:8087:74d9:21::9]/270000001128/9900000105/index.m3u8
黑莓电影,http://[2409:8087:74d9:21::9]/270000001128/9900000095/index.m3u8
黑莓动画,http://[2409:8087:74d9:21::9]/270000001128/9900000096/index.m3u8
欢乐剧场,http://[2409:8087:74d9:21::9]/270000001128/9900000091/index.m3u8
家庭剧场,http://[2409:8087:74d9:21::9]/270000001128/9900000108/index.m3u8
惊悚悬疑,http://[2409:8087:74d9:21::9]/270000001128/9900000113/index.m3u8
金牌综艺,http://[2409:8087:74d9:21::9]/270000001128/9900000112/index.m3u8
精品纪录,http://[2409:8087:74d9:21::9]/270000001128/9900000109/index.m3u8
精品大剧,http://[2409:8087:74d9:21::9]/270000001128/9900000100/index.m3u8
军旅剧场,http://[2409:8087:74d9:21::9]/270000001128/9900000107/index.m3u8
精品萌宠,http://[2409:8087:74d9:21::9]/270000001128/9900000122/index.m3u8
军事评论,http://[2409:8087:74d9:21::9]/270000001128/9900000110/index.m3u8
农业致富,http://[2409:8087:74d9:21::9]/270000001128/9900000111/index.m3u8
怡伴健康,http://[2409:8087:74d9:21::9]/270000001128/9900000103/index.m3u8
炫舞未来,http://[2409:8087:74d9:21::9]/270000001128/9900000098/index.m3u8
中国功夫,http://[2409:8087:74d9:21::9]/270000001128/9900000101/index.m3u8
纪实科教,http://[2409:8087:74d9:21::9]/270000001128/9900000515/index.m3u8
纪实人文,http://[2409:8087:74d9:21::9]/270000001128/9900000528/index.m3u8
纪实人文,http://[2409:8087:74d9:21::9]/270000001322/69900158041111100000002199/index.m3u8
电影频道,#genre#
贝爷MAX,http://zzy789.xyz/douyu1.php?id=4332
神乐影院,http://zzy789.xyz/douyu1.php?id=122402
神乐科幻,http://zzy789.xyz/douyu1.php?id=20415
吃米滴虫,http://zzy789.xyz/douyu1.php?id=315457
奶虫影厅,http://zzy789.xyz/douyu1.php?id=263824
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519
贝爷壹厅,http://zzy789.xyz/douyu1.php?id=252802
贝爷贰厅,http://zzy789.xyz/douyu1.php?id=36337
豆瓣高分,http://zzy789.xyz/douyu1.php?id=8770422
特辑影院,http://zzy789.xyz/douyu1.php?id=3637778
华语影视,http://zzy789.xyz/douyu1.php?id=3928
神诡奇谈,http://zzy789.xyz/douyu1.php?id=2935323
小U超清,http://zzy789.xyz/douyu1.php?id=96577
小宇超清,http://zzy789.xyz/douyu1.php?id=323876
冰冰剧场,http://zzy789.xyz/douyu1.php?id=74374
恐怖剧场http://zzy789.xyz/douyu1.php?id=310926
惊悚诡谲,http://zzy789.xyz/douyu1.php?id=116537
怡宝影视,http://zzy789.xyz/douyu1.php?id=434971
科幻剧场,http://zzy789.xyz/douyu1.php?id=2793084
周星驰,http://159.75.85.63:35455/huya/11342412
林正英,http://159.75.85.63:35455/huya/11342421
周润发,http://159.75.85.63:35455/huya/11342387
甄子丹,http://159.75.85.63:35455/huya/11352935
李连杰,http://159.75.85.63:35455/huya/11342390
洪金宝,http://159.75.85.63:35455/huya/11279251
梁家辉,http://159.75.85.63:35455/huya/11342429
刘德华,http://159.75.85.63:35455/huya/11342424
成龙,http://159.75.85.63:35455/huya/11342386
王晶,http://159.75.85.63:35455/huya/11602058
沈腾,http://159.75.85.63:35455/huya/11601968
黄渤,http://159.75.85.63:35455/huya/11352876
强森,http://159.75.85.63:35455/huya/21059581
徐克,http://159.75.85.63:35455/huya/11352909
剧集频道,#genre#
星光剧集,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
金庸经典,http://159.75.85.63:35455/huya/11602082
武林外传,http://159.75.85.63:35455/yy/29491
蓝翔经典,http://zzy789.xyz/douyu1.php?id=7459925
武侠影视,http://zzy789.xyz/douyu1.php?id=338759
橙記港剧,http://zzy789.xyz/douyu1.php?id=4549169
老王剧场,http://zzy789.xyz/douyu1.php?id=7476264
帝艺港剧,http://159.75.85.63:35455/yy/1350670730
名著联播,http://zzy789.xyz/douyu1.php?id=6861249
经典剧集,http://zzy789.xyz/douyu1.php?id=2838296
港剧联播1,http://zzy789.xyz/douyu1.php?id=5522351
港剧联播2,http://zzy789.xyz/douyu1.php?id=5261342
少儿卡通,#genre#
动漫剧场,http://zzy789.xyz/douyu1.php?id=7620081
超燃动漫,http://zzy789.xyz/douyu1.php?id=1174353
柯南剧场,http://zzy789.xyz/douyu1.php?id=7050342
灌篮高手,http://159.75.85.63:35455/yy/1356243352
火影忍者,http://159.75.85.63:35455/huya/11342385
数码宝贝,http://159.75.85.63:35455/huya/29465874
开心锤锤,http://zzy789.xyz/douyu1.php?id=9018297
七龙珠改,http://159.75.85.63:35455/huya/11601966
海贼王,http://159.75.85.63:35455/huya/16913382
卡通轮播,http://zzy789.xyz/douyu1.php?id=997925
猫和老鼠,http://159.75.85.63:35455/huya/11352879
蜡笔小新,http://159.75.85.63:35455/huya/11352970
樱桃小丸子,http://159.75.85.63:35455/huya/11342394
哆啦A梦,http://159.75.85.63:35455/huya/11601963
臭狗熊,http://159.75.85.63:35455/yy/1352866135
熊熊探险日记S1,http://159.75.85.63:35455/yy/1354930977
萌鸡小队S1,http://159.75.85.63:35455/yy/1382736904
成龙历险记,http://159.75.85.63:35455/huya/11352946
四驱小子,http://159.75.85.63:35455/huya/11352922
中华小当家,http://159.75.85.63:35455/huya/11342413
海绵宝宝,http://159.75.85.63:35455/huya/11352919
小猪佩奇,http://159.75.85.63:35455/huya/25243980
爆笑虫子,http://159.75.85.63:35455/douyu/9942574
综艺体育,#genre#
易中天三国,http://159.75.85.63:35455/yy/1354931498
陈翔六点半,http://159.75.85.63:35455/huya/11274154
万万没想到,http://zzy789.xyz/douyu1.php?id=9220456
吐槽大会①线,http://159.75.85.63:35455/yy/1354936145
吐槽大会②线,http://159.75.85.63:35455/yy/1354889009
吐槽大会③线,http://159.75.85.63:35455/huya/11352875
吐槽大会④线,http://159.75.85.63:35455/huya/21059555
今晚80后,http://159.75.85.63:35455/yy/1382745098
音乐石榴,http://159.75.85.63:35455/huya/17091681
屌丝男士,http://159.75.85.63:35455/yy/1382741637
开心麻花,http://zzy789.xyz/douyu1.php?id=10153463
相声小品,http://zzy789.xyz/douyu1.php?id=9067836
赵本山,http://159.75.85.63:35455/huya/11602068
本山大叔,http://zzy789.xyz/douyu1.php?id=9817716
宋小宝,http://zzy789.xyz/douyu1.php?id=9817729
贾玲,http://zzy789.xyz/douyu1.php?id=10419541
碎片记,http://zzy789.xyz/douyu1.php?id=9412981
地球上的地狱,http://159.75.85.63:35455/yy/1382736918
纬来体育,rtmp://f13h.mine.nu/sat/tv721
山东地方,#genre#
山东齐鲁,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000313/index.m3u8?IASHttpSessionId=
山东综艺,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000338/index.m3u8?IASHttpSessionId=
山东综艺,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000378/index.m3u8?IASHttpSessionId=
山东体育,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000315/index.m3u8?IASHttpSessionId=
山东体育,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000373/index.m3u8?IASHttpSessionId=
山东公共,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000314/index.m3u8?IASHttpSessionId=
山东农科,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000339/index.m3u8?IASHttpSessionId=
山东少儿,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000340/index.m3u8?IASHttpSessionId=
山东少儿,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000375/index.m3u8?IASHttpSessionId=
山东文旅,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000337/index.m3u8?IASHttpSessionId=
山东文旅,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000377/index.m3u8?IASHttpSessionId=
山东生活,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000336/index.m3u8?IASHttpSessionId=
山东教育,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000331/index.m3u8?IASHttpSessionId=
居家购物,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000700/index.m3u8?IASHttpSessionId=
交通广播,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00003002/index.m3u8?IASHttpSessionId=
经济广播,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00003001/index.m3u8?IASHttpSessionId=
港湾地区,#genre#
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
日本全天新聞,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
TVB 星河台,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
